"Year","Month","Temperature","Relative_humidity","Wind_direction","Wind_speed","Gust_speed","Precipitation","PAR","Date"
2018,6,85.4898943894389,66.4217821782178,211.240264026403,4.42950495049505,10.1998679867987,0.047,703.036419753086,"6/2018"
2018,7,83.1758829858776,69.7742434431742,162.192266308003,3.67379287155346,8.32632145258911,0.999,527.635776731674,"7/2018"
2018,8,81.3940120967742,70.9629032258065,169.249663978495,3.65698924731183,8.66132392473118,1.812,497.791061827957,"8/2018"
2018,9,76.5611152777778,84.69375,115.827777777778,3.12398611111111,7.39850694444444,7.276,324.213888888889,"9/2018"
2018,10,66.0438924731183,84.3284274193548,141.23938172043,3.6934811827957,8.39269489247312,6.226,308.064919354839,"10/2018"
2018,11,50.3123988919668,83.4259695290859,189.837257617729,4.24701523545706,9.54135734072022,6.707,208.713850415512,"11/2018"
2018,12,48.3674193548387,82.7229166666667,177.642069892473,4.27647849462366,9.40699596774193,14.762,177.268548387097,"12/2018"
2019,1,45.620132885906,77.9208053691275,189.92067114094,4.43340268456376,9.77872483221477,5.993,198.637919463087,"1/2019"
2019,2,51.5845699404762,83.2798363095238,153.976711309524,4.97575892857143,10.8483556547619,7.956,180.641964285714,"2/2019"
2019,3,54.6277149595687,69.2347035040431,155.17102425876,4.4428167115903,10.1815566037736,4.126,347.423045822102,"3/2019"
2019,4,65.327805856833,74.881453362256,167.718655097614,4.11550433839479,9.42286334056399,11.063,424.013177874187,"4/2019"
2019,5,73.6821158769369,80.4138333707613,166.696182348978,3.16803727823939,7.29929036604536,9.292,477.744464406018,"5/2019"
2019,6,77.0739914332021,79.7829358647835,189.040773327159,3.01787450798796,6.81172262097708,11.503,531.920074091225,"6/2019"
2019,7,80.2425628084343,80.5653432032301,163.874899057873,3.68143113503813,7.54705697622252,2.776,549.067317182593,"7/2019"
2019,8,82.6223985215054,78.2605062724014,151.765076164875,2.29839605734767,5.10881944444444,1.624,509.544534050179,"8/2019"
2019,9,82.1156396292005,68.0957589803013,146.312630359212,2.84641019698725,6.20604403244496,0.733,478.197103128621,"9/2019"
2019,10,64.6872343189964,78.9941532258065,145.447199820789,3.26807795698925,6.92306003584229,7.923,320.290727418066,"10/2019"
2019,11,52.3091797181797,73.5814737814738,158.485054285054,1.48165943600868,3.93066160520607,1.326,225.621335597057,"11/2019"
2019,12,50.1382864321608,79.2555961626313,171.189949748744,3.22361505243677,6.60186818836109,8.343,186.355778894472,"12/2019"
2020,1,49.7019948463096,81.7043162157188,176.940051536904,3.75610344192895,8.02972482974416,26.13,162.108568010307,"1/2020"
2020,2,49.4924774904215,78.627191091954,173.820641762452,4.30685823754789,8.97093989463601,19.87,218.761661877395,"2/2020"
2020,3,62.2127159039928,82.192530282638,153.7355764917,4.64435845670704,9.5305978017048,14.128,242.372611036339,"3/2020"
2020,4,62.7426602496017,77.5704593733404,147.929885820499,3.36411046202868,7.48813064259161,13.846,386.369941582581,"4/2020"
2020,5,70.6048062275986,76.1787410394265,155.748073476703,3.91060259856631,8.27646953405018,5.606,479.312119175627,"5/2020"
2020,6,78.5639949074074,76.385462962963,151.010949074074,3.76418981481481,7.82957175925926,4.101,504.569212962963,"6/2020"
2020,7,80.7915916218638,84.1106182795699,171.373342293907,2.73078405017921,5.67465725806452,8.939,475.138172043011,"7/2020"
2020,8,80.1898424553624,77.5110864745011,153.390033842922,3.45305286497841,6.94138055782472,8.346,483.376741743494,"8/2020"
2020,9,74.0698829861111,83.2222106481481,129.617881944444,3.98783333333333,7.87477083333333,8.784,361.105671296296,"9/2020"
2020,10,63.3742741935484,81.6138216845878,125.459262992832,3.763270609319,7.49584229390681,9.856,290.558758960573,"10/2020"
2020,11,58.0823148404993,76.7128062875636,146.270388349515,3.21353675450763,6.63010980120203,3.384,259.042695330559,"11/2020"
2020,12,47.4004545250896,78.8348566308244,207.496158154122,3.79359318996416,7.81389000896057,13.83,189.048902329749,"12/2020"
2021,1,45.0551863063531,78.5468364297778,181.325802260621,4.36172924516045,8.42226062102118,6.053,182.261777315837,"1/2021"
2021,2,41.8384781746032,82.5857638888889,143.110887896825,4.12569692460317,8.65298115079365,5.021,206.677430555556,"2/2021"
2021,3,59.4018645132346,72.8457828622701,148.404867653656,4.1607402422611,8.60390982503365,4.768,327.358591296546,"3/2021"
2021,4,62.087187037037,72.0910185185185,162.638657407407,3.72112962962963,7.92990277777778,6.42,414.121296296296,"4/2021"
2021,5,69.439644265233,80.2175403225806,129.389874551971,3.90013440860215,8.28667562724014,10.467,443.249171146953,"5/2021"
2021,6,78.5882791666667,81.0421296296296,149.451898148148,3.24360185185185,6.83736574074074,3.957,510.019444444444,"6/2021"
2021,7,78.7592555753791,80.1003568242641,167.276137377342,3.05520071364853,6.67345673505798,2.152,548.052140945584,"7/2021"
